,ID,Conversation.ID,Text,Movie.Title,Movie.ID,Release.Year,Genre,Formal/Informal
35505,35505,L108562,"Look, I'm just on this boat, okay? I'm an engineer.  Whatever this is, it's not for me to be involved, okay?, I don't remember Zurich., ",the bourne identity,m282,2002,"['action', 'adventure', 'mystery', 'thriller']",formal
11064,11064,L283645,"Are you sure Williams is not all there?, All you've got to do is talk to him. But the Mayor would hang his own grandmother to be re-elected., But couldn't you show the man wasn't responsible?, How?, ",his girl friday,m90,1940,"['comedy', 'drama', 'romance']",formal
37117,37117,L126252,"Go on, please -- five men -- $250,000 -- the French Underground --, Yes. The five men. They were, of course, your husband, Charles, the three men who showed up at his funeral yesterday, and Carson Dyle. But something went wrong and they were unable to locate their contact. It must have been at that point that they decided to steal the money., Steal it how?, By burying it, and then reporting that the Germans had captured it. All they had to do was come back after the war, dig it up and split it five ways -- a quarter of a million dollars with no questions asked., May I have a cigarette, please?, ",charade,m293,1963,"['comedy', 'mystery', 'romance', 'thriller']",formal
38580,38580,L142880,"Page after page of data -- over sixty-three thousand in all, if I'm not mistaken... and at the end of each..., A page-break signal.  A period., Not if you think like a Vegan., You're saying... there is no separate primer in the message -- because it's on every page so the recipient can decipher it wherever he is --, -- even if he doesn't receive the entire transmission.  Heaven is the mustard seed., ",contact,m304,1997,"['drama', 'mystery', 'sci-fi', 'thriller']",formal
72666,72666,L648549,"Does Norman know?, Jody, she's alive., What?, Mrs. Feur.  She's alive.  I met her. She's really sweet., Then what was it?, Nothing.  It wasn't anything.  I've been on edge lately.  Maybe since the accident. And I'd prefer, I really would, to just--, Something was there.  You saw it., Did I?, Yes.  Now I talked to Sela and there's a guy, this Pakistani guy down in Hartford..., Hartford?, And he's the real thing.  Specializes in cases like this, like yours., No.  Jody, listen to me.  You have to listen to me.  This is not something that I can do right now.  Whatever it was, it's gone.  I need it to be gone now., But Claire--, Please., ",what lies beneath,m601,2000,"['drama', 'horror', 'mystery', 'thriller']",formal
3177,3177,L62922,"I strongly feel that a Negro should direct this.  This kind of satire is a high wire act in a gale storm. One misstep and we're doing ""Amos and Andy.""  Only a Negro will have the sensitivity and cultural awareness to navigate this dangerous terrain., To hire someone solely on their ethnicity, gender or religion is not right.  It's un-American.  I will hire someone who is most qualified for this particular job., ",bamboozled,m27,2000,"['comedy', 'drama', 'music']",formal
31810,31810,L51390,"How do you write women so well?, I think of a man and take away reason and accountability., ",as good as it gets,m249,1997,"['comedy', 'drama', 'romance']",formal
4077,4077,L87852,"You become pregnant by a man who runs off with your best friend, and you decide to get an abortion., I'd never get an abortion., Why not?, That would be murder, Mr. Deckard., In your opinion., It would be my child., Sounds like you speaks from experience., ",blade runner,m34,1982,"['drama', 'sci-fi', 'thriller']",formal
15078,15078,L349601,"Adam, that's not true!, Yes, it is., Would you stop being ridiculous?  Your father wants Sam home as much as I do., ",life as a house,m119,2001,"['drama', 'romance']",formal
15752,15752,L356937,"It would serve you right if you were left behind., How could I know that a war was going to break out right over my head!  Right over my head. Oh, my word! I tell you, those Chinese were pouncing on me from every direction. I had to get into these ridiculous clothes in order to escape., ",lost horizon,m124,1937,"['adventure', 'drama', 'fantasy', 'mystery']",formal
32319,32319,L61249,"Let me put it on a level you can understand. You don't belong here. You don't know anything about this world. You don't know the customs, you don't know how to talk, how to act -- you don't even look like you belong here. And if you walked out on the street, you wouldn't get 100 yards without being arrested. Then there would be questions, and where would we come up with the answers?, Okay, Professor, I get where you're coming from. The way I look, the way I'm dressed...  I'd stick out like a sore thumb., ",back to the future,m253,1985,"['adventure', 'family', 'sci-fi']",formal
39392,39392,L150256,"I just came to say goodbye., Where are you going?, Back to the city. I may take off to Europe for the rest of the summer. I just can't handle it around here., I think that's for the best., Good for you., Sebastian, please. I don't want us to end on bad terms., Well, I'm afraid you don't have a choice in the matter. You make me sick. You're a hypocrite and I don't associate with hypocrites., ",cruel intentions,m312,1999,"['drama', 'romance', 'thriller']",formal
39517,39517,L150049,"Got me off the streets? I live on 59th and Park., Whatever. You are never to set foot in this house again and you are never and I mean never to see my daughter again. Is that understood?!, ",cruel intentions,m312,1999,"['drama', 'romance', 'thriller']",formal
71862,71862,L640501,"It's really a stupid opinion. You have developed an annoying habit of talking for what seems to be no other reason than to hear yourself speak., Because my opinion threatens yours, it's poorly developed?, No, because your opinions are idiotic and have nothing to do with what any given conversation is about, which makes 85% of your eagerly injected thought process highly offensive to me., Boyd brought up divorce statistics., ",very bad things,m595,1998,"['comedy', 'crime', 'thriller']",formal
1748,1748,L30270,"It is new, it is, isn't it, Sire?, Yes, indeed., And German?, Oh, yes. Absolutely. German. Unquestionably!, So then you like it? You really like it, Your Majesty?, Of course I do. It's very good. Of course now and then - just now and then - it gets a touch elaborate., What do you mean, Sire?, Well, I mean occasionally it seems to have, how shall one say?  How shall one say, Director?, ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
2223,2223,L35751,"She's still talking to Jesus., What worries me is that Jesus is talking back., ",american outlaws,m19,2001,"['action', 'western']",formal
