,ID,Conversation.ID,Text,Movie.Title,Movie.ID,Release.Year,Genre,Tolerance
8174,8174,L247161,"I can't believe he put the moves on me. After everything I've done for him., He's scum! As far as he's concerned you're just a pair of breasts that talk., ",godzilla,m67,1998,"['action', 'horror', 'sci-fi', 'thriller']",intolerant
11064,11064,L283645,"Are you sure Williams is not all there?, All you've got to do is talk to him. But the Mayor would hang his own grandmother to be re-elected., But couldn't you show the man wasn't responsible?, How?, ",his girl friday,m90,1940,"['comedy', 'drama', 'romance']",intolerant
11927,11927,L298530,"You can't go. Call them back., Baby, you know how it is. I have to report to El Toro right away., You said you were on leave for the Fourth., They cancelled it. Why are you acting like this?, ",independence day,m97,1996,"['action', 'adventure', 'sci-fi', 'thriller']",intolerant
15121,15121,L348796,"Are you trying to tell me after all this time you finally have a plan for busting out of here?, Shh! Is that so hard to believe?, Don't tell me, I don't want to hear it. It's probably all fucked up, anyway., You don't want to hear it, you don't want to hear it. There's no shame in that., It's too late for plans., Never thought I'd hear Ray Gibson say that. Hell with you then. You'd only slow me down anyway., ",the life of david gale,m120,2003,"['drama', 'crime', 'thriller']",intolerant
16576,16576,L370340,"So these two girls come over to the bar..., Hey, Ang'..., ...and they sit down right next to me..., You want a beer, Ang'?, I look over at this one nexta me, not bad, about thirty-five -- Hiya, Marty..., Hiya, Ralph..., ...I been talking about two nurses Leo and me picked up in a bar on Seventy-First Street., Hey, Lou, gimme two bottles-a beer..., So, Marty, lemme tell you about these nurses, Marty..., Waddaya read there, Joe?, ",marty,m130,1955,"['drama', 'romance']",intolerant
17319,17319,L389931,"Take any one ya like., Kinda early for Christmas, Bugs., A Jew's gotta let his heart tell him when ta give his presents., ",mobsters,m136,1991,"['crime', 'drama']",intolerant
18444,18444,L413245,"Aw, gee. I sent her on an errand., You sent my assistant on an errand., I've been a bad boy., ",nick of time,m146,1995,"['crime', 'drama', 'thriller']",intolerant
18522,18522,L413296,"Oh, we'll have to do better than that., You worthless piece of shit! Gimme that!, ",nick of time,m146,1995,"['crime', 'drama', 'thriller']",intolerant
27760,27760,L619471,"Ohhh Mother!, Goddamnit, Mav, you really are a slow learner. Don't worry, Fung, I've got it., ",top gun,m220,1986,"['action', 'drama', 'romance']",intolerant
31698,31698,L51782,"Sorry, didn't realize she was right there.  Did you have sex with her?, To hell with sex., ",as good as it gets,m249,1997,"['comedy', 'drama', 'romance']",intolerant
32291,32291,L60946,"You'd like to see a nuclear holocaust?, Not a holocaust --, Mr. McFly here wants to nuke it all, just so he can see it!, ",back to the future,m253,1985,"['adventure', 'family', 'sci-fi']",intolerant
35505,35505,L108562,"Look, I'm just on this boat, okay? I'm an engineer.  Whatever this is, it's not for me to be involved, okay?, I don't remember Zurich., ",the bourne identity,m282,2002,"['action', 'adventure', 'mystery', 'thriller']",intolerant
35660,35660,L112857,"I heard CY Coates was brought in. He looked pretty bad., He'll be all right., Too bad. He called me up today, can you believe that? I don't know how he got my number. He asks me do I want to come over and see him, I tell him I'd rather go to a leper colony. He says there's a new gang that wants to kill him, take over the business. I told him I hope he's right. That they kill him. That's what I told him., It'll be a while before he's up and running again., OK, last night I was weak. it won't happen again. And all that shit I said--it was just because I was stoned. Forget it., No problem. Thanks for letting me crash. It was the best sleep I've had in months. I used some of your soap., I wish these people would leave already. I can't listen to another story. Did you see him?  That doctor says the brain is coming around. They're waiting for the heart to stabilize. I don't know who to believe. He says they still have to keep him tied up., Can I bring you something back to eat--a falafal, some pizza?, No, we just ate. I only remember how tough my father was. Now I know he had to be like that, to make us tough. This city'll kill you if you aren't strong enough., No, the city doesn't discriminate. It gets everybody., ",bringing out the dead,m284,1999,"['drama', 'thriller']",intolerant
37107,37107,L126655,"You don't look so bad in this light., Why do you think I brought you here?, I thought maybe you wanted me to see the kind of work the competition was turning out., Pretty good, huh? I taught them everything they do., Oh? Did they do that sort of thing way back in your day?, How do you think I got here?, ",charade,m293,1963,"['comedy', 'mystery', 'romance', 'thriller']",intolerant
